time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,disruption,-15,50,x_-15_y_50.heic,False,,,False
dark flash,disruption,0,50,x_+00_y_50.heic,False,,,False
dark flash,disruption,-20,50,x_-20_y_50.heic,False,,,False
dark flash,disruption,20,50,x_+20_y_50.heic,True,VRJ7774,0.9584143757820129,True
dark flash,disruption,15,50,x_+15_y_50.heic,True,VRJ7774,0.9982157945632935,True
dark flash,disruption,-5,50,x_-05_y_50.heic,True,3J77H,0.6636385321617126,False
dark flash,disruption,10,50,x_+10_y_50.heic,True,RJJ7774,0.8073261380195618,False
dark flash,disruption,-10,50,x_-10_y_50.heic,True,VRJ7774,0.969436764717102,True
dark flash,disruption,5,50,x_+05_y_50.heic,True,VWJ7774,0.8472625017166138,False
dark flash,disruption,5,5,x_+05_y_05.heic,True,VRJ7174,0.9193798899650574,False
dark flash,disruption,-10,5,x_-10_y_05.heic,True,VRJ777,0.8166071772575378,False
dark flash,disruption,10,5,x_+10_y_05.heic,True,VRJ7774,0.9962434768676758,True
dark flash,disruption,-5,5,x_-05_y_05.heic,True,VRJ777A,0.7089481353759766,False
dark flash,disruption,15,5,x_+15_y_05.heic,True,VRJ7774,0.993897020816803,True
dark flash,disruption,20,5,x_+20_y_05.heic,False,,,False
dark flash,disruption,0,5,x_+00_y_05.heic,True,VRJ7774,0.9998515248298645,True
dark flash,disruption,-20,5,x_-20_y_05.heic,False,,,False
dark flash,disruption,-15,5,x_-15_y_05.heic,False,,,False
dark flash,impersonation,10,15,x_+10_y_15.heic,True,VRJ7774,0.9998870491981506,True
dark flash,impersonation,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999885559082031,True
dark flash,impersonation,5,15,x_+05_y_15.heic,True,VRJ7774,0.9999832510948181,True
dark flash,impersonation,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9994561076164246,True
dark flash,impersonation,-20,15,x_-20_y_15.heic,True,NKJT304,0.7977375388145447,False
dark flash,impersonation,0,15,x_+00_y_15.heic,True,VRJ7774,0.99991375207901,True
