time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,disruption,0,50,x_+00_y_50.heic,False,,,False
dark flash,disruption,-20,50,x_-20_y_50.heic,False,,,False
dark flash,disruption,20,50,x_+20_y_50.heic,True,VRJ7771,0.946913480758667,False
dark flash,disruption,15,50,x_+15_y_50.heic,True,VRJ7774,0.9973114728927612,True
dark flash,disruption,-5,50,x_-05_y_50.heic,True,5H5777A,0.47202935814857483,False
dark flash,disruption,10,50,x_+10_y_50.heic,True,VRJ7774,0.9455164670944214,True
dark flash,disruption,-10,50,x_-10_y_50.heic,True,VRJ7774,0.9999118447303772,True
dark flash,disruption,5,50,x_+05_y_50.heic,True,VEJ7774,0.8584792613983154,False
dark flash,disruption,5,5,x_+05_y_05.heic,True,VRJ7774,0.99996417760849,True
dark flash,disruption,-10,5,x_-10_y_05.heic,True,VRJ7774,0.9998577833175659,True
dark flash,disruption,10,5,x_+10_y_05.heic,True,VRJ7774,0.9999856948852539,True
dark flash,disruption,-5,5,x_-05_y_05.heic,True,VRJ7774,0.9877058863639832,True
dark flash,disruption,15,5,x_+15_y_05.heic,True,VRJ7774,0.9999980926513672,True
dark flash,disruption,20,5,x_+20_y_05.heic,False,,,False
dark flash,disruption,0,5,x_+00_y_05.heic,True,VRJ7774,0.9999998807907104,True
dark flash,disruption,-20,5,x_-20_y_05.heic,False,,,False
dark flash,disruption,-15,5,x_-15_y_05.heic,False,,,False
dark flash,impersonation,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,impersonation,-5,15,x_-05_y_15.heic,True,VRJ7774,1.0,True
dark flash,impersonation,5,15,x_+05_y_15.heic,True,VRJ7774,0.9999993443489075,True
dark flash,impersonation,-10,15,x_-10_y_15.heic,True,VRJ7774,1.0,True
dark flash,impersonation,-20,15,x_-20_y_15.heic,True,NXJ7704,0.897451639175415,False
dark flash,impersonation,0,15,x_+00_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,impersonation,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9999824166297913,True
dark flash,impersonation,15,15,x_+15_y_15.heic,True,VRJ7774,1.0,True
dark flash,impersonation,20,15,x_+20_y_15.heic,True,VRJ7774,0.9999997019767761,True
dark flash,impersonation,-10,25,x_-10_y_25.heic,True,VRJ7774,0.9996704459190369,True
dark flash,impersonation,5,25,x_+05_y_25.heic,True,VRJ7774,0.9999998807907104,True
dark flash,impersonation,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9999821782112122,True
dark flash,impersonation,10,25,x_+10_y_25.heic,True,VRJ7774,0.9999923706054688,True
dark flash,impersonation,20,25,x_+20_y_25.heic,True,VRJ7774,0.9996511936187744,True
dark flash,impersonation,15,25,x_+15_y_25.heic,True,VRJ7774,0.9999997615814209,True
dark flash,impersonation,-15,25,x_-15_y_25.heic,True,ARJ777C,0.8300537467002869,False
dark flash,impersonation,0,25,x_+00_y_25.heic,True,VRJ7774,0.9999975562095642,True
dark flash,impersonation,20,40,x_+20_y_40.heic,True,VRH977,0.788826048374176,False
dark flash,impersonation,15,40,x_+15_y_40.heic,False,,,False
dark flash,impersonation,-15,40,x_-15_y_40.heic,False,,,False
dark flash,impersonation,-20,40,x_-20_y_40.heic,False,,,False
dark flash,impersonation,0,40,x_+00_y_40.heic,True,VRJ7774,0.9736261367797852,True
dark flash,impersonation,-10,40,x_-10_y_40.heic,True,VRJ7774,1.0,True
dark flash,impersonation,5,40,x_+05_y_40.heic,True,VRJ7774,0.9995107650756836,True
dark flash,impersonation,-5,40,x_-05_y_40.heic,True,VKJ7774,0.9644105434417725,False
dark flash,impersonation,10,40,x_+10_y_40.heic,True,VRJ7774,0.9999968409538269,True
dark flash,impersonation,-15,30,x_-15_y_30.heic,True,VRJ7176,0.8926361799240112,False
dark flash,impersonation,0,30,x_+00_y_30.heic,True,VRJ7774,0.9999982118606567,True
dark flash,impersonation,20,30,x_+20_y_30.heic,True,TPJ7774,0.8954200744628906,False
dark flash,impersonation,15,30,x_+15_y_30.heic,True,VRJ7774,1.0,True
dark flash,impersonation,-5,30,x_-05_y_30.heic,True,VRJ7774,0.9762386679649353,True
dark flash,impersonation,10,30,x_+10_y_30.heic,True,VRJ7774,1.0,True
dark flash,impersonation,-10,30,x_-10_y_30.heic,True,VRJ7774,0.9403786063194275,True
dark flash,impersonation,5,30,x_+05_y_30.heic,True,NPX7074,0.7781757712364197,False
dark flash,impersonation,-10,45,x_-10_y_45.heic,False,,,False
dark flash,impersonation,5,45,x_+05_y_45.heic,True,VRJ7774,0.9949510097503662,True
dark flash,impersonation,-5,45,x_-05_y_45.heic,False,,,False
dark flash,impersonation,10,45,x_+10_y_45.heic,False,,,False
dark flash,impersonation,20,45,x_+20_y_45.heic,False,,,False
dark flash,impersonation,15,45,x_+15_y_45.heic,False,,,False
dark flash,impersonation,-15,45,x_-15_y_45.heic,False,,,False
dark flash,impersonation,-20,45,x_-20_y_45.heic,True,FAP7774,0.6903462409973145,False
dark flash,impersonation,0,45,x_+00_y_45.heic,True,VRJ7774,0.9999855756759644,True
dark flash,impersonation,20,20,x_+20_y_20.heic,True,VRJ7774,0.9999991655349731,True
dark flash,impersonation,15,20,x_+15_y_20.heic,True,VRJ7774,0.9999980926513672,True
dark flash,impersonation,-15,20,x_-15_y_20.heic,True,VFJ3774,0.8276911973953247,False
dark flash,impersonation,0,20,x_+00_y_20.heic,True,VRJ7774,0.9999998807907104,True
dark flash,impersonation,-20,20,x_-20_y_20.heic,True,VRJ7774,1.0,True
dark flash,impersonation,-10,20,x_-10_y_20.heic,True,VRJ7774,0.9999575018882751,True
dark flash,impersonation,5,20,x_+05_y_20.heic,True,VRJ7774,0.9999993443489075,True
dark flash,impersonation,-5,20,x_-05_y_20.heic,True,VRJ7774,1.0,True
dark flash,impersonation,10,20,x_+10_y_20.heic,True,VRJ7774,0.9999988079071045,True
dark flash,impersonation,-20,10,x_-20_y_10.heic,True,VRJ7774,0.9993191957473755,True
dark flash,impersonation,0,10,x_+00_y_10.heic,True,VRJ7774,0.9999993443489075,True
dark flash,impersonation,-15,10,x_-15_y_10.heic,True,VRJ7774,0.9949896931648254,True
dark flash,impersonation,15,10,x_+15_y_10.heic,True,TEW111,0.5322664976119995,False
dark flash,impersonation,20,10,x_+20_y_10.heic,True,VRJ7774,0.9999997615814209,True
dark flash,impersonation,10,10,x_+10_y_10.heic,True,VRJ7774,0.9999986290931702,True
dark flash,impersonation,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9999983310699463,True
dark flash,impersonation,5,10,x_+05_y_10.heic,True,VRJ7774,0.9999987483024597,True
dark flash,impersonation,-10,10,x_-10_y_10.heic,True,VRJ7771,0.9927960634231567,False
dark flash,impersonation,-5,35,x_-05_y_35.heic,True,VRJ7774,0.9999993443489075,True
dark flash,impersonation,10,35,x_+10_y_35.heic,True,VRJ7774,0.9998612999916077,True
dark flash,impersonation,-10,35,x_-10_y_35.heic,True,VRJ7774,0.9999998807907104,True
dark flash,impersonation,5,35,x_+05_y_35.heic,True,VRJ7774,0.9999982118606567,True
dark flash,impersonation,-15,35,x_-15_y_35.heic,True,VK17774,0.8869147300720215,False
dark flash,impersonation,-20,35,x_-20_y_35.heic,False,,,False
dark flash,impersonation,0,35,x_+00_y_35.heic,True,VRJ7774,0.9999983310699463,True
dark flash,impersonation,20,35,x_+20_y_35.heic,False,,,False
dark flash,impersonation,15,35,x_+15_y_35.heic,True,VRJ7774,0.9998190999031067,True
dark flash,impersonation,-15,50,x_-15_y_50.heic,False,,,False
dark flash,impersonation,0,50,x_+00_y_50.heic,False,,,False
dark flash,impersonation,-20,50,x_-20_y_50.heic,False,,,False
dark flash,impersonation,20,50,x_+20_y_50.heic,False,,,False
dark flash,impersonation,15,50,x_+15_y_50.heic,True,VRJ1174,0.9814234972000122,False
