time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,disruption,-5,5,x_-05_y_05.heic,True,2RJ777A,0.6302425861358643,False
dark flash,disruption,15,5,x_+15_y_05.heic,True,VRJ7774,0.9992878437042236,True
dark flash,disruption,20,5,x_+20_y_05.heic,False,,,False
dark flash,disruption,0,5,x_+00_y_05.heic,True,VRJ7774,0.9941914677619934,True
dark flash,disruption,-20,5,x_-20_y_05.heic,False,,,False
dark flash,disruption,-15,5,x_-15_y_05.heic,False,,,False
dark flash,impersonation,10,15,x_+10_y_15.heic,True,VRJ7774,0.999366044998169,True
dark flash,impersonation,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999783635139464,True
dark flash,impersonation,5,15,x_+05_y_15.heic,True,VRJ7774,0.9998912811279296,True
dark flash,impersonation,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9999964833259584,True
dark flash,impersonation,-20,15,x_-20_y_15.heic,False,,,False
dark flash,impersonation,0,15,x_+00_y_15.heic,True,VRJ7774,0.9997476935386658,True
dark flash,impersonation,-15,15,x_-15_y_15.heic,True,VRJ7774,0.999993860721588,True
dark flash,impersonation,15,15,x_+15_y_15.heic,True,VRJ7774,0.9999306797981262,True
dark flash,impersonation,20,15,x_+20_y_15.heic,True,VRJ7774,0.9992361068725586,True
dark flash,impersonation,-10,25,x_-10_y_25.heic,True,VRJ7774,0.9996955394744872,True
dark flash,impersonation,5,25,x_+05_y_25.heic,True,VRJ7774,0.9991201758384703,True
dark flash,impersonation,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9989395141601562,True
dark flash,impersonation,10,25,x_+10_y_25.heic,True,VRJ7774,0.99984210729599,True
dark flash,impersonation,20,25,x_+20_y_25.heic,False,,,False
dark flash,impersonation,15,25,x_+15_y_25.heic,False,,,False
dark flash,impersonation,-15,25,x_-15_y_25.heic,False,,,False
dark flash,impersonation,0,25,x_+00_y_25.heic,False,,,False
dark flash,impersonation,20,40,x_+20_y_40.heic,False,,,False
dark flash,impersonation,15,40,x_+15_y_40.heic,False,,,False
dark flash,impersonation,-15,40,x_-15_y_40.heic,False,,,False
dark flash,impersonation,-20,40,x_-20_y_40.heic,False,,,False
dark flash,impersonation,0,40,x_+00_y_40.heic,False,,,False
dark flash,impersonation,-10,40,x_-10_y_40.heic,False,,,False
dark flash,impersonation,5,40,x_+05_y_40.heic,False,,,False
dark flash,impersonation,-5,40,x_-05_y_40.heic,False,,,False
dark flash,impersonation,10,40,x_+10_y_40.heic,False,,,False
dark flash,impersonation,-15,30,x_-15_y_30.heic,False,,,False
dark flash,impersonation,0,30,x_+00_y_30.heic,True,VRJ7774,0.9942919611930848,True
dark flash,impersonation,20,30,x_+20_y_30.heic,False,,,False
dark flash,impersonation,15,30,x_+15_y_30.heic,False,,,False
dark flash,impersonation,-5,30,x_-05_y_30.heic,True,VRJ7774,0.993967056274414,True
dark flash,impersonation,10,30,x_+10_y_30.heic,True,VRJ7774,0.9999480843544006,True
dark flash,impersonation,-10,30,x_-10_y_30.heic,True,VPJ7774,0.9081419706344604,False
dark flash,impersonation,5,30,x_+05_y_30.heic,True,NRJ7074,0.9000587463378906,False
dark flash,impersonation,-10,45,x_-10_y_45.heic,False,,,False
dark flash,impersonation,5,45,x_+05_y_45.heic,False,,,False
dark flash,impersonation,-5,45,x_-05_y_45.heic,False,,,False
dark flash,impersonation,10,45,x_+10_y_45.heic,False,,,False
dark flash,impersonation,20,45,x_+20_y_45.heic,False,,,False
dark flash,impersonation,15,45,x_+15_y_45.heic,False,,,False
dark flash,impersonation,-15,45,x_-15_y_45.heic,False,,,False
dark flash,impersonation,-20,45,x_-20_y_45.heic,False,,,False
dark flash,impersonation,0,45,x_+00_y_45.heic,False,,,False
dark flash,impersonation,20,20,x_+20_y_20.heic,True,VRJ7774,0.9988933205604552,True
dark flash,impersonation,15,20,x_+15_y_20.heic,False,,,False
dark flash,impersonation,-15,20,x_-15_y_20.heic,False,,,False
dark flash,impersonation,0,20,x_+00_y_20.heic,True,VRJ7774,0.9999670386314392,True
dark flash,impersonation,-20,20,x_-20_y_20.heic,False,,,False
dark flash,impersonation,-10,20,x_-10_y_20.heic,True,VRJ7774,0.9993042349815368,True
dark flash,impersonation,5,20,x_+05_y_20.heic,True,VRJ7774,0.9999850392341614,True
dark flash,impersonation,-5,20,x_-05_y_20.heic,True,VRJ7774,0.9999942779541016,True
dark flash,impersonation,10,20,x_+10_y_20.heic,True,VRJ7774,0.9997528791427612,True
dark flash,impersonation,-20,10,x_-20_y_10.heic,False,,,False
dark flash,impersonation,0,10,x_+00_y_10.heic,True,VRJ7774,0.9774070382118224,True
dark flash,impersonation,-15,10,x_-15_y_10.heic,False,,,False
dark flash,impersonation,15,10,x_+15_y_10.heic,True,TH771L,0.496038019657135,False
dark flash,impersonation,20,10,x_+20_y_10.heic,True,VRJ7774,0.9783658981323242,True
dark flash,impersonation,10,10,x_+10_y_10.heic,True,VRJ1774,0.9722802639007568,False
dark flash,impersonation,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9908764958381652,True
dark flash,impersonation,5,10,x_+05_y_10.heic,True,VRJ7774,0.9910448789596558,True
dark flash,impersonation,-10,10,x_-10_y_10.heic,True,VRJ7774,0.9956625699996948,True
dark flash,impersonation,-5,35,x_-05_y_35.heic,False,,,False
dark flash,impersonation,10,35,x_+10_y_35.heic,True,VRJ7774,0.998598337173462,True
dark flash,impersonation,-10,35,x_-10_y_35.heic,True,VRJ7774,0.9992921352386476,True
dark flash,impersonation,5,35,x_+05_y_35.heic,True,VRJ7174,0.9727913737297058,False
dark flash,impersonation,-15,35,x_-15_y_35.heic,False,,,False
dark flash,impersonation,-20,35,x_-20_y_35.heic,False,,,False
dark flash,impersonation,0,35,x_+00_y_35.heic,False,,,False
dark flash,impersonation,20,35,x_+20_y_35.heic,False,,,False
dark flash,impersonation,15,35,x_+15_y_35.heic,False,,,False
dark flash,impersonation,-15,50,x_-15_y_50.heic,False,,,False
dark flash,impersonation,0,50,x_+00_y_50.heic,False,,,False
dark flash,impersonation,-20,50,x_-20_y_50.heic,False,,,False
dark flash,impersonation,20,50,x_+20_y_50.heic,False,,,False
dark flash,impersonation,15,50,x_+15_y_50.heic,False,,,False
dark flash,impersonation,-5,50,x_-05_y_50.heic,False,,,False
dark flash,impersonation,10,50,x_+10_y_50.heic,False,,,False
dark flash,impersonation,-10,50,x_-10_y_50.heic,False,,,False
dark flash,impersonation,5,50,x_+05_y_50.heic,False,,,False
dark flash,impersonation,5,5,x_+05_y_05.heic,True,VRJ77744,0.9322782158851624,False
dark flash,impersonation,-10,5,x_-10_y_05.heic,True,VYT7777,0.6109436750411987,False
dark flash,impersonation,10,5,x_+10_y_05.heic,True,VRJ7774,0.9980661869049072,True
dark flash,impersonation,-5,5,x_-05_y_05.heic,True,VRJ777A,0.9665126800537108,False
dark flash,impersonation,15,5,x_+15_y_05.heic,True,VRJ7774,0.999847173690796,True
dark flash,impersonation,20,5,x_+20_y_05.heic,False,,,False
dark flash,impersonation,0,5,x_+00_y_05.heic,True,VRJ7774,0.99648118019104,True
dark flash,impersonation,-20,5,x_-20_y_05.heic,False,,,False
dark flash,impersonation,-15,5,x_-15_y_05.heic,False,,,False
dark flash,control,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999644160270692,True
dark flash,control,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999644160270692,True
dark flash,control,5,15,x_+05_y_15.heic,True,VRJ7774,0.9995386600494384,True
dark flash,control,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9998023509979248,True
dark flash,control,-20,15,x_-20_y_15.heic,False,,,False
dark flash,control,0,15,x_+00_y_15.heic,True,VRJ7774,0.9999930262565612,True
dark flash,control,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9999462962150574,True
